label_number,label_full_name,mean w-score,perc_suprathreshold
182,17Networks_RH_ContC_pCun_2,0.99450983608828,25
183,17Networks_RH_ContC_Cingp_1,0.235869825189178,15
184,17Networks_RH_DefaultA_IPL_1,0.790485113982412,20
185,17Networks_RH_DefaultA_PFCd_1,0.789488841534504,15
186,17Networks_RH_DefaultA_pCunPCC_1,0.941091286037729,25
187,17Networks_RH_DefaultA_PFCm_1,0.412715957418766,15
188,17Networks_RH_DefaultA_PFCm_2,-0.288046552770867,0
189,17Networks_RH_DefaultA_PFCm_3,0.656983243395325,5
190,17Networks_RH_DefaultB_Temp_1,0.718281020341531,5
191,17Networks_RH_DefaultB_AntTemp_1,1.09353475052976,35
192,17Networks_RH_DefaultB_PFCd_1,0.443121363103854,0
193,17Networks_RH_DefaultB_PFCv_1,0.595497325091509,10
194,17Networks_RH_DefaultC_IPL_1,0.746994103463221,20
195,17Networks_RH_DefaultC_Rsp_1,0.699968051159764,5
196,17Networks_RH_DefaultC_PHC_1,0.020240338994733,0
197,17Networks_RH_TempPar_1,0.370719349974367,5
198,17Networks_RH_TempPar_2,0.502386780504444,10
199,17Networks_RH_TempPar_3,0.735192505550216,25
200,17Networks_RH_TempPar_4,0.484164097364697,10
